addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
上海市,市辖区,黄浦区,南京东路街道,121.4642644,31.2311363,69,407,587,343,757,1364,53,14,20,42,108,33,22,163,2073,76,10902,8,18,17,133,72,60,84,216,10,0,3,7,16,7,2,20,370,15,1241,8,13,8363727308,12236005,市辖区黄浦区,市辖区黄浦区南京东路街道,20.0,30.0,30.0,20.0,100.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,外滩街道,121.4769284,31.2414303,78,397,680,420,843,1314,73,10,21,31,84,25,16,137,1403,75,7576,8,18,8,18,96,59,132,160,9,2,5,3,8,5,1,28,374,14,1606,7,8,8363556548,12235857,市辖区黄浦区,市辖区黄浦区外滩街道,20.0,30.0,30.0,20.0,100.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,半淞园路街道,121.4827018,31.2090944,75,473,365,246,535,987,61,9,15,26,84,17,10,85,923,53,7628,8,15,7,43,36,32,60,120,8,2,0,3,17,3,0,3,40,7,837,6,9,8363596807,12235902,市辖区黄浦区,市辖区黄浦区半淞园路街道,20.0,30.0,28.0,20.0,98.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,小东门街道,121.4965796,31.2219356,65,403,534,339,635,1143,99,7,10,22,76,16,6,102,973,51,6912,8,17,0,43,29,16,117,86,3,0,0,3,12,0,1,3,52,8,733,8,10,8363596810,12235905,市辖区黄浦区,市辖区黄浦区小东门街道,20.0,30.0,25.0,20.0,95.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,豫园街道,121.4830613,31.2273624,74,481,608,311,750,1195,89,11,15,31,88,28,11,131,1467,76,8425,8,19,15,54,120,57,151,182,7,1,2,6,13,2,4,25,193,14,1407,7,11,8363596809,12235904,市辖区黄浦区,市辖区黄浦区豫园街道,20.0,30.0,30.0,20.0,100.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,老西门街道,121.4816021,31.2171507,82,454,498,268,614,1080,71,10,18,32,94,21,10,120,1425,69,9559,8,16,0,20,62,40,126,134,0,0,0,4,15,1,0,9,69,10,1145,6,9,8363596808,12235903,市辖区黄浦区,市辖区黄浦区老西门街道,20.0,30.0,28.0,20.0,98.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,五里桥街道,121.4770209,31.2028865,62,394,319,223,478,891,50,9,13,30,82,13,7,77,830,43,7387,8,15,21,81,60,15,50,118,11,3,0,4,11,3,0,8,38,4,534,6,9,8363665947,12235959,市辖区黄浦区,市辖区黄浦区五里桥街道,20.0,30.0,28.0,20.0,98.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,打浦桥街道,121.4687168,31.2056211,69,392,351,202,496,944,54,11,23,42,94,17,10,104,1126,47,9122,8,15,14,122,29,18,62,105,5,3,2,4,16,5,2,25,151,7,704,5,8,8363665948,12235958,市辖区黄浦区,市辖区黄浦区打浦桥街道,20.0,30.0,30.0,20.0,100.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,淮海中路街道,121.4712274,31.2169213,75,451,480,252,648,1153,58,10,23,42,109,20,14,140,1796,75,11313,8,16,9,81,43,40,107,139,7,1,2,7,9,2,2,14,164,11,1268,6,11,8363727310,12236003,市辖区黄浦区,市辖区黄浦区淮海中路街道,20.0,30.0,30.0,20.0,100.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,黄浦区,瑞金二路街道,121.4625343,31.2192886,64,414,518,283,683,1272,52,14,32,51,127,25,18,163,2021,78,12386,8,16,18,95,37,35,61,139,9,3,3,8,17,5,2,17,270,5,1794,7,10,8363727309,12236004,市辖区黄浦区,市辖区黄浦区瑞金二路街道,20.0,30.0,30.0,20.0,100.0,98.9,86.05953488372093,86.05953488372093
上海市,市辖区,徐汇区,天平路街道,121.4341523,31.2048835,54,343,245,224,362,993,48,11,39,48,113,17,13,124,1433,38,11434,9,17,0,28,39,28,47,120,3,1,11,8,12,1,2,16,141,1,1484,6,10,9270802546,13469980,市辖区徐汇区,市辖区徐汇区天平路街道,20.0,30.0,30.0,20.0,100.0,96.92307692307692,86.05953488372093,86.05953488372093
上海市,市辖区,徐汇区,湖南路街道,121.4376026,31.2134661,50,370,261,209,424,1054,50,15,38,52,125,19,15,143,1636,41,11913,9,16,3,26,48,20,73,115,4,1,8,10,15,0,2,13,194,4,1832,7,10,9270802547,13469979,市辖区徐汇区,市辖区徐汇区湖南路街道,20.0,30.0,25.0,20.0,95.0,96.92307692307692,86.05953488372093,86.05953488372093
